trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-219.43359699447345,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-83.89782982123636,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-50.878499749033324,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-45.48887325691403,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-116.39509792272547,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-209.62885880722558,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-116.29660561141489,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-68.37204794999634,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-82.01364599649654,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-53.251118978744465,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-170.7005611996329,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-63.56502055500582,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-67.3236720485829,"{0: 15, 1: 9, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-30.517321932615673,"{0: 22, 1: 6, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-33.48684215329615,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-45.043353819089916,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-59.518989414525834,"{0: 19, 1: 8, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-56.05390838098378,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-79.11371747271942,"{0: 9, 1: 9, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-23.673021076924826,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-3.557984880147055,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-18.119903084482843,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-35.258518592613186,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-47.13412361474831,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-53.67799585973912,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-14.422374921818786,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-24.416874321023048,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-6.5796919475944,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-33.56089862223716,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-12.438372481532554,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
