trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.999}",30,0,-214.33602489933787,"{0: 15, 1: 0, 2: 9, 3: 5, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.998001}",20,0,-124.41704062701089,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.997002999}",20,7,-38.29205644993756,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.996005996001}",25,0,2.230018335330851,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.995009990004999}",25,0,-81.79182468886584,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.994014980014994}",20,0,-70.75285945993699,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0

7,False,"{'a': 0.9, 'e': 0.993020965034979}",25,0,-263.56458028902114,"{0: 11, 1: 3, 2: 4, 3: 3, 4: 4}",0
8,False,"{'a': 0.9, 'e': 0.992027944069944}",25,0,-237.1607615601859,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
9,False,"{'a': 0.9, 'e': 0.991035916125874}",25,0,-211.88282910460782,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
10,False,"{'a': 0.9, 'e': 0.9900448802097482}",25,0,-72.97750893085019,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9890548353295384}",30,0,-230.8820697661756,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.9880657804942089}",20,0,-62.94099131215345,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.9870777147137147}",20,0,-108.99340036041973,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.986090636999001}",30,0,-65.55298346505856,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.985104546362002}",25,0,-121.2276076177851,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.9841194418156399}",25,3,-62.670847157696976,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.9831353223738244}",20,0,-121.79725418527798,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.9821521870514505}",35,22,-46.01677168613036,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.981170034864399}",20,0,-18.097767558814944,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.9801888648295347}",20,0,-36.74645087628161,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.9792086759647052}",20,0,-66.58482710920254,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.9782294672887404}",35,0,-102.16393503030716,"{0: 24, 1: 3, 2: 4, 3: 4, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.9772512378214517}",25,0,-76.85495586435063,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.9762739865836302}",25,0,-96.43840915214321,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.9752977125970466}",20,0,-144.17056155387183,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.9, 'e': 0.9743224148844496}",20,0,-111.80493362137031,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.9733480924695651}",25,0,-134.42116057055426,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.9723747443770956}",20,0,-80.4772225417837,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.9, 'e': 0.9714023696327184}",20,0,-54.61501646992991,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.9704309672630858}",30,0,-114.90594257827647,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.9694605362958226}",30,0,-0.34905522157898017,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.9684910757595269}",25,0,-85.9706890411779,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.9, 'e': 0.9675225846837673}",20,0,-166.72287498448677,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
34,False,"{'a': 0.9, 'e': 0.9665550620990835}",25,14,-96.02757173205674,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 2}",1
35,False,"{'a': 0.9, 'e': 0.9655885070369844}",20,0,-56.31346487865176,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.9, 'e': 0.9646229185299474}",20,0,-117.77445536141956,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
37,False,"{'a': 0.9, 'e': 0.9636582956114175}",20,0,-77.77882036703102,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
38,False,"{'a': 0.9, 'e': 0.9626946373158061}",20,0,-193.7489918773053,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
39,False,"{'a': 0.9, 'e': 0.9617319426784903}",20,0,-238.6145319533078,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
40,False,"{'a': 0.9, 'e': 0.9607702107358118}",30,0,-29.017154870834187,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.9, 'e': 0.959809440525076}",20,0,-50.15484400133107,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.9588496310845509}",20,0,-34.3999808314411,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.9578907814534663}",35,0,-115.7804320714338,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.9, 'e': 0.9569328906720128}",25,0,-89.54740236879456,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.9559759577813408}",20,0,-124.30913393886668,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.9550199818235595}",20,11,-24.97033508685906,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.954064961841736}",30,0,-83.473129014717,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.9, 'e': 0.9531108968798943}",30,0,-149.04776397829258,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
49,False,"{'a': 0.9, 'e': 0.9521577859830144}",20,0,-18.492813269993423,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.9, 'e': 0.9512056281970314}",20,0,-153.01721826778814,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.9, 'e': 0.9502544225688343}",20,0,-165.29344694361612,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.9493041681462654}",30,0,-87.04234646002686,"{0: 20, 1: 7, 2: 0, 3: 2, 4: 1}",0
53,False,"{'a': 0.9, 'e': 0.9483548639781192}",20,0,-106.11141282263064,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.9, 'e': 0.947406509114141}",35,0,-102.47155239476646,"{0: 23, 1: 5, 2: 4, 3: 3, 4: 0}",0
55,False,"{'a': 0.9, 'e': 0.9464591026050269}",25,5,-83.88037495449271,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
56,False,"{'a': 0.9, 'e': 0.9455126435024219}",30,0,-180.55684459333347,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
57,False,"{'a': 0.9, 'e': 0.9445671308589194}",20,0,-98.59634074939788,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.9, 'e': 0.9436225637280605}",20,0,-26.713167503556043,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.9, 'e': 0.9426789411643325}",25,0,-187.99546001967488,"{0: 11, 1: 2, 2: 7, 3: 4, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.9417362622231682}",20,0,-30.227093371808774,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.9407945259609449}",20,0,-46.21450868878074,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.9, 'e': 0.9398537314349841}",20,0,-158.862157515201,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
63,False,"{'a': 0.9, 'e': 0.9389138777035491}",20,0,-136.75998319359763,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
64,False,"{'a': 0.9, 'e': 0.9379749638258456}",20,0,-101.17544490593987,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.9, 'e': 0.9370369888620197}",20,0,-91.31326312359329,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.9360999518731576}",20,0,-5.999657481932833,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.9, 'e': 0.9351638519212845}",30,0,-172.4146167833028,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
68,False,"{'a': 0.9, 'e': 0.9342286880693632}",25,0,-175.56594299654444,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
69,False,"{'a': 0.9, 'e': 0.9332944593812939}",30,0,-127.15401363637272,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
70,False,"{'a': 0.9, 'e': 0.9323611649219126}",20,0,-64.30829453524058,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.9, 'e': 0.9314288037569907}",25,16,-1.4867120617724483,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.9304973749532336}",25,8,-43.014322495661915,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.9, 'e': 0.9295668775782804}",30,0,-92.47800963269337,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
74,False,"{'a': 0.9, 'e': 0.9286373107007021}",30,0,-111.16428793705443,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
