trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.77613407967989,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.50248229461907,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.50931492779765,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.1722672724974,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.297325652256745,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.61766595745485,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.15108459568646,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-257.1750707438523,"{0: 20, 1: 2, 2: 7, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.11835011895556,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-253.38084105318495,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-232.62110319933592,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.87019298458588,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.87880390852091,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.46091955839026,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.22442056204338,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.17549983565854,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.42147902255054,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.18203286122827,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.9687926037364,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.9650320833279,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.68474930768764,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,12,-35.15668991670958,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.38509312149606,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.87964270017467,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.12679242184754,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-106.59234528425712,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,1,-182.4728485373383,"{0: 21, 1: 2, 2: 6, 3: 3, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.54749642041051,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.53420132372372,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.36155410730897,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
